,"Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahrain","Bangladesh","Persian Gulf","Belarus","Belgium","Benin","Bolivia","Botswana","Brazil","Brunei Darussalam","Burma","Cambodia","Bulgaria","Canada","Chile","Colombia","China","Congo","Croatia","Cuba","Denmark","Cyprus","Dominican Republic","Ecuador","Egypt","El Salvador","Eritrea","Estonia","Cameroon","Ethiopia","Finland","France","Zimbabwe","Zambia","Yemen","Uzbekistan","United States of America","United Kingdom","Ukraine","Turkey","Tunisia","Togo","Thailand","Tajikistan","Sweden","Suriname","Spain","South Africa","Sudan","Slovenia","Singapore","Slovakia","Uruguay","Serbia","Russian Federation & USSR","Romania","Qatar","Poland","Peru","Portugal","Paraguay","Pakistan","Oman","Panama","NZ","Norway","Niger","Nicaragua","Nigeria","Senegal","Nepal","Namibia","Mozambique","Morocco","Montenegro","Mongolia","Mexico","Netherlands","Malta","Malaysia","Lithuania","Mauritius","Lebanon","Latvia","Kyrgyzstan","Kuwait","Kenya","Kosovo","Kazakhstan","Jordan","Jamaica","Ivory Coast","Italy","Japan","Ireland","Iraq","Indonesia","Israel","Iceland","Hungary","Honduras","Haiti","Libya","India","Guatemala","Greece","Gibraltar","Germany","Georgia","Ghana","Gabon"
"1900-01-01 00:00:00",0,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,,0,122000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,8482000,0,,0,0,,0,,0,0,0,,,,,,,,10342000,248000,0,347000,38000,,,0,0,,,0,,,0,,,,,0,,0,0,0,,0,,,,,,0,,,,,,0,2000,114000,,0,311000,0,,2000,,,0,144000,0,0,,50000,,0,0
"1901-01-01 00:00:00",0,0,0,0,,0,0,,0,0,0,,,,0,,0,0,0,,0,101000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,9252000,0,,0,0,,0,,0,0,0,,,,,,,,11564000,298000,0,405000,39000,,,0,0,,,0,,,0,,,,,0,,0,2000,0,,0,,,,,,0,,,,,,0,2000,145000,,0,554000,0,,3000,,,0,191000,0,0,,44000,,0,0
"1902-01-01 00:00:00",0,0,0,0,,0,1000,,0,0,0,,,,0,,0,0,0,,0,71000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,11835000,0,,0,0,,0,,0,0,0,,,,,,,,10984000,324000,0,521000,32000,,,0,0,,,0,,,0,,,,,0,,0,5000,0,,0,,,,,,0,,,,,,0,3000,157000,,0,336000,0,,4000,,,0,216000,0,0,,50000,,0,0
"1903-01-01 00:00:00",0,0,0,0,,0,1000,,0,0,0,,,,0,,0,0,0,,0,65000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,13395000,0,,0,0,,0,,0,0,0,,,,,,,,10311000,412000,0,673000,37000,,,0,0,,,0,,,0,,,,,0,,0,10000,0,,0,,,,,,0,,,,,,0,2000,126000,,0,796000,0,,3000,,,0,335000,0,0,,63000,,0,0
"1904-01-01 00:00:00",0,0,0,0,,0,1000,,0,0,0,,,,0,,0,0,0,,0,74000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,15611000,0,,0,0,,0,,0,0,0,,,,,,,,10724000,531000,0,824000,39000,,,0,0,,,0,,,0,,,,,0,,0,19000,0,,0,,,,,,0,,,,,,0,4000,185000,,0,898000,0,,2000,,,0,451000,0,0,,90000,,0,0
"1905-01-01 00:00:00",0,0,0,0,,0,1000,,0,0,0,,,,0,,0,0,0,,0,85000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,17962000,0,,0,0,,0,,0,0,0,,,,,,,,7458000,682000,0,794000,50000,,,0,0,,,0,,,0,,,,,0,,0,36000,0,,0,,,,,,0,,,,,,0,6000,176000,,0,1083000,0,,5000,,,0,551000,0,0,,79000,,0,0
"1906-01-01 00:00:00",0,0,0,0,,0,1000,,0,0,1000,,,,0,,0,0,0,,0,76000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,16866000,0,,0,0,,0,,0,0,0,,,,,,,,8072000,971000,0,737000,71000,,,0,0,,,0,,,0,,,,,0,,0,72000,0,,0,,,,,,0,,,,,,0,7000,228000,,0,1130000,0,,3000,,,0,536000,0,0,,81000,,0,0
"1907-01-01 00:00:00",0,0,0,0,,0,1000,,0,0,0,,,,0,,0,0,0,,0,105000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,22146000,0,,0,0,,0,,0,0,0,,,,,,,,8554000,1148000,0,1126000,100000,,,0,0,,,0,,,0,,,,,0,,0,154000,0,,0,,,,,,0,,,,,,0,8000,268000,,0,1378000,0,,2000,,,0,579000,0,0,,106000,,0,0
"1908-01-01 00:00:00",0,0,0,2000,,0,2000,,0,0,0,,,,0,,0,0,0,,0,70000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,23804000,0,,0,0,,0,,0,0,0,,,,,,,,8627000,1139000,0,1718000,126000,,,0,0,,,0,,,0,,,,,0,,0,560000,0,,0,,,,,,0,,,,,,0,7000,276000,,0,1420000,0,,2000,,,0,673000,0,0,,141000,,0,0
"1909-01-01 00:00:00",0,0,0,3000,,0,2000,,0,0,0,,,,0,,0,0,0,,0,56000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,24423000,0,,0,0,,0,,0,0,0,,,,,,,,9176000,1356000,0,2086000,188000,,,0,0,,,0,,,0,,,,,0,,0,400000,0,,0,,,,,,0,,,,,,0,6000,268000,,0,1524000,0,,3000,,,0,890000,0,0,,137000,,0,0
"1910-01-01 00:00:00",0,0,0,3000,,0,2000,,0,0,0,,,,0,,0,0,0,,0,42000,0,0,0,0,,0,0,,,0,0,,,,0,,,0,,,,,27941000,0,,0,0,,0,,0,0,0,,,,,,,,9541000,1327000,0,1766000,168000,,,0,0,,,0,,,0,,,,,0,,0,520000,0,,0,,,,,,0,,,,,,0,7000,257000,,0,1523000,0,,3000,,,0,818000,0,0,,140000,,0,0
